survey_date,single_permit_units
200001,54170
200002,59577
200003,78625
200004,68931
200005,77372
200006,76578
200007,64283
200008,73218
200009,63234
200010,67429
200011,59560
200012,54159
200101,61779
200102,60986
200103,78003
200104,79041
200105,83612
200106,80645
200107,74902
200108,78419
200109,62831
200110,69967
200111,58896
200112,55997
200201,63585
200202,67326
200203,76744
200204,84871
200205,85898
200206,81088
200207,82502
200208,81955
200209,74154
200210,84087
200211,62561
200212,65145
200301,68969
200302,65747
200303,79269
200304,88256
200305,88113
200306,92519
200307,90906
200308,87422
200309,86271
200310,92347
200311,66747
200312,77364
200401,80175
200402,84229
200403,114730
200404,113490
200405,111610
200406,117743
200407,108806
200408,107729
200409,99137
200410,94721
200411,85908
200412,85746
200501,75800
200502,81347
200503,105004
200504,103954
200505,105108
200506,112929
200507,99250
200508,109351
200509,102423
200510,92357
200511,84462
200512,79363
200601,80445
200602,82521
200603,101522
200604,88047
200605,96807
200606,93344
200607,74367
200608,79208
200609,62651
200610,63706
200611,53357
200612,51061
200701,54722
200702,54542
200703,69493
200704,64438
200705,69053
200706,62443
200707,56997
200708,55308
200709,41819
200710,43961
200711,34481
200712,29533
200801,31483
200802,32349
200803,34740
200804,39758
200805,38423
200806,36845
200807,34814
200808,29980
200809,27600
200810,24882
200811,16165
200812,15769
200901,14414
200902,16589
200903,20251
200904,23271
200905,23957
200906,29163
200907,28821
200908,26234
200909,25060
200910,23571
200911,20446
200912,22974
201001,21675
201002,23780
201003,33018
201004,29129
201005,24690
201006,27109
201007,23706
201008,23680
201009,21316
201010,19249
201011,18102
201012,19456
201101,17817
201102,17906
201103,25081
201104,23960
201105,25246
201106,26871
201107,23274
201108,27344
201109,23210
201110,21608
201111,20612
201112,20373
201201,20999
201202,24507
201203,28418
201204,29488
201205,33578
201206,32831
201207,31971
201208,34259
201209,29026
201210,33419
201211,27636
201212,25926
201301,29965
201302,30999
201303,36875
201304,41252
201305,42839
201306,40037
201307,40518
201308,40117
201309,34472
201310,37722
201311,30249
201312,29003
201401,30717
201402,30781
201403,37161
201404,40767
201405,41587
201406,42731
201407,42243
201408,35903
201409,34424
201410,35293
201411,29578
201412,33938
201501,29354
201502,29730
201503,38177
201504,41316
201505,40155
201506,45172
201507,41025
201508,38770
201509,37246
201510,37759
201511,31620
201512,33799
201601,30818
201602,35475
201603,44419
201604,42998
201605,44627
201606,47147
201607,38838
201608,44007
201609,39762
201610,38107
201611,35710
201612,35532
201701,36405
201702,37533
201703,49752
201704,44439
201705,49996
201706,51636
201707,43411
201708,47627
201709,40911
201710,44324
201711,39479
201712,37121
201801,41402
201802,40773
201803,49250
201804,50067
201805,52560
201806,51541
201807,48642
201808,49272
201809,39841
201810,45377
201811,38877
201812,34599
201901,37540
201902,37785
201903,45293
201904,47736
201905,50561
201906,47186
201907,49856
201908,50518
201909,43918
201910,50267
201911,41317
201912,41736
202001,46479
202002,46212
202003,50368
202004,40029
202005,40351
202006,51621
202007,58288
202008,56617
202009,59241
202010,60520
202011,51195
202012,57749
202101,55233
202102,53581
202103,70331
202104,67580
202105,62203
202106,65643
202107,58448
202108,57825
202109,54121
202110,53844
202111,49687
202112,53330
202201,83395
202202,87072
202203,107332
202204,98227
202205,95354
202206,91514
202207,75581
202208,80998
202209,70810
202210,65872
202211,55550
202212,50025
202301,53359
202302,58741
202303,79457
202304,75372
202305,89230
202306,91297
202307,78055
202308,88619
202309,76667
202310,79959
202311,69851
202312,65192
202401,75906
202402,79445
202403,85199
202404,93638
202405,94070
202406,83714
202407,85815
202408,86048
202409,76744
202410,84362
202411,66608
202412,68282
202501,73109
202502,73874
202503,84464
